content,option1,option2,option3,option4,subcategory,staticId,category
The purpose of financial markets is to,Allocate Savings Efficiently,Increase stock price,Lower bond yield,Control inflation,1,1,Finance
Which of the following is NOTÊa financial intermediary?,IBM Corp.,Vanguard Mutual Fund,Citibank NA,Savings and Loan Service,1,2,Finance
Which of the following is NOT a cash outflow for the firm?,Depreciation,Dividends,Interest payments,Taxes,1,3,Finance
A market where stocks are bought and sold for the first time is called the,Primary market,Secondary market,Tertiary market,Capital market,1,4,Market
A market where a stocks are publicly traded is called the,Secondary market,Primary market,Tertiary market,Capital market,1,5,Market
An order to buy or sell a stock at a specified price or better is called a,Limit order,Market Order,Stop Order,Day order,1,6,Trading
An order to buy or sell a security at the current price is called a,Market Order,Limit Order,Stop Order,Day Order,1,7,Trading
What does PE Ratio stand for?,Price to Earnings Ratio,Profits to Earnings Ratio,Percent Earned Ratio,Price Estimate Ratio,1,8,Acronym
What does EPS stand for?,Earnings Per Share,Earned Profit ,Estimated Profit,None of the above,1,9,Acronym
ADV is commonly known as the past 21 days,Average Daily Volume,Average Daily Value,Additional Volume,None of the above,1,10,Acronym
Market Cap is calculated as current price multiplied by,Outstanding volume,Today's volume,Average Daily volume,None of the above,1,11,Definition
What does ETF stand for?,Exchange Traded Fund,Exchange Traded Futures,Extended Trading,None of the above,1,12,Acronym
Which one is an example of a commodity?,All of the above,Beef,Natural Gas,Gold,1,13,Finance
What does IPO stand for?,Initial Public Offering,Intial Purchase Offering,Initial Pref.Offering,None of the above,1,14,Acronym
What does P&L stand for?,Profit and Loss,Proposed Loss,Prorated Loss,None of the above,1,15,Definition
Who acts as the intermidiary between a buyer or seller in the market?,Broker,Dealer,Market Maker,Specialist,2,16,Market
"When you purchase a share of a company, you have",All of the above,Right to ownership,Ownership in the company asset,None of the above,1,17,Investment
"When you buy option of a company stock, you have",None of the Above,Right to ownership,All of the above,Ownership in the company asset,1,18,Investment
What drives stock prices?, Supply & demand, Market contractions,Tidal forces,Order book depth,1,19,Finance
What is referred as the stock's current volume?,Quantity traded,Cost of sales, Companies' marketing initiatives,Company growth,1,20,Market
What is market cap?,Value of the company on the stock market, Maximum value of the company,The chairman's hat,Total value of the stock market,1,21,Definition
Forex refers to,Foreign exchange,Foreigner exclusivity, A brand name,A trading strategy,1,22,Definition
What is book value?,Net Asset value of a company ,Price of the annual report,Yesterday's closing value,Average price of a basket of books,1,23,Definition
What is the Ask price of a stock?,The price you can buy at,The price the buyer wants,The offer made by the buyer,The best possible price,1,24,Market
What factors affect stock markets?, All of the above ,Inflation,Sentiment, Political events,1,25,Market
What's a blue chip stock?,"A large, well-established company's stock",A technology or IBM affiliate company stock,IBM,A company trading at less than a dollar,1,26,Market
What is common stock?,Ordinary shares , Popular stocks,High volume stocks,All of the above,1,27,Definition
What is an index?, A weighted basket of stocks, A stock rating, A quantitative ratio,Measurement of performance,1,28,Definition
What is a security?,A tradable financial asset,Protection of shares,Insurance against loss,None of the above,1,29,Definition
Short selling is ,Selling shares you don't own,A bad strategy,Immoral,Profitable only in rising markets,1,30,Trading
Buying long is ,None of the above,Frowned upon,Profitable only in falling markets,Advisable,1,31,Trading
High risk investments are likely to be ,All of the above,Volatile,Speculative,High potential return,1,32,Investment
A bull market refers to,Rising prices,Inaccurate prices,Beef commodities,Stagnant prices,1,33,Market
A bear market refers to,Falling prices,A hibernating market,An active market,A black market,1,34,Market
"Who said ""Be fearful when other are greedy. Be greedy when others are fearful""",Warren Buffett,Phillip Fisher,Robert Arnott,Jim Cramer,1,35,Quotes
What is a Balance Sheet?,"A statement of assets, liabilities, equity for a business",The balance between price and earnings.,Balancing cash flow and net earnings.,None of the above,1,36,Definition
What is a bond?,A certificate of debt,A security for a loan,Paper money,All of the above,1,37,Fixed Income
Which of the following is not considered an asset class?,Credit cards,Gold,Bonds,Stocks,1,38,Finance
Diversification is ,Mixing investment types in your portfolio,Expanding your portfolio,Trading at high frequency,All of the above,2,39,Investment
What is dollar cost averaging?,An investment strategy,Buying penny stocks, Your average trade price, None of the above,2,40,Investment
The bid-ask spread set by the market maker is determined by the:,Stock Exchange,Issuing company,Fixed Cost,None,2,41,Market
Financial exposure is,The amount you stand to lose,Illegal,The amount you stand to gain,Not advisable,2,42,Finance
